TEAM_ID,ABBR,G,RA,RA_G,FG_TEAM,ERA_MINUS,FIP_MINUS,RANK_RA_G,RANK_ERA_MINUS,RANK_FIP_MINUS,COMPOSITE_RANK_SCORE,PREVENTION_RANK,OPP_STRENGTH
158,MIL,102,381,3.735294117647059,MIL,83.69016092741548,85.00312895276168,2.0,3.0,1.0,2.0,1,FUERTE
147,NYY,101,392,3.881188118811881,NYY,82.37414013225026,87.965998933357,5.0,1.0,2.0,2.6666666666666665,2,FUERTE
119,LAD,103,378,3.6699029126213594,LAD,85.96046962505322,89.47707273874973,1.0,4.0,4.0,3.0,3,FUERTE
111,BOS,101,381,3.772277227722772,BOS,83.29735896355014,91.04348168773306,3.0,2.0,6.0,3.6666666666666665,4,FUERTE
136,SEA,103,398,3.8640776699029127,SEA,92.51129934403347,89.66431820906972,4.0,9.0,5.0,6.0,5,FUERTE
116,DET,102,405,3.9705882352941178,DET,87.00773654779105,91.07087759011085,7.0,5.0,7.0,6.333333333333333,6,FUERTE
114,CLE,103,420,4.077669902912621,CLE,90.29775126342379,96.24535361174891,8.0,7.0,10.0,8.333333333333334,7,FUERTE
144,ATL,102,404,3.9607843137254903,ATL,88.27605569432768,100.07664324234308,6.0,6.0,16.0,9.333333333333334,8,FUERTE
139,TB,101,426,4.217821782178218,TBR,92.05358957620957,99.45795770152762,9.0,8.0,13.0,10.0,9,FUERTE
146,MIA,103,446,4.330097087378641,MIA,97.03718071944292,96.31838616638561,10.0,10.0,11.0,10.333333333333334,10,FUERTE
143,PHI,103,463,4.495145631067961,PHI,99.05743287592774,88.06316620613948,16.0,12.0,3.0,10.333333333333334,11,MEDIO
145,CWS,101,439,4.346534653465347,CHW,98.20150978291274,100.38905239913403,11.0,11.0,18.0,13.333333333333334,12,MEDIO
141,TOR,102,465,4.5588235294117645,TOR,101.88533390687148,95.75938664308192,18.0,16.0,9.0,14.333333333333334,13,MEDIO
134,PIT,103,492,4.776699029126213,PIT,99.24922170579255,93.77432117138129,22.0,13.0,8.0,14.333333333333334,14,MEDIO
138,STL,101,448,4.435643564356436,STL,100.97530757231863,100.30253169556202,13.0,14.0,17.0,14.666666666666666,15,MEDIO
140,TEX,102,457,4.480392156862745,TEX,106.63416318313527,99.7201969696156,15.0,20.0,15.0,16.666666666666668,16,MEDIO
121,NYM,103,483,4.689320388349515,NYM,103.78834291296565,96.50948041646389,20.0,18.0,12.0,16.666666666666668,17,MEDIO
135,SD,102,450,4.411764705882353,SDP,107.04180118430298,101.23773778713746,12.0,21.0,19.0,17.333333333333332,18,MEDIO
110,BAL,103,485,4.70873786407767,BAL,103.10412199778108,99.67785245589924,21.0,17.0,14.0,17.333333333333332,19,MEDIO
109,ARI,102,459,4.5,ARI,101.41739572061114,108.48472670724212,17.0,15.0,23.0,18.333333333333332,20,MEDIO
112,CHC,102,455,4.46078431372549,CHC,105.2537702010197,115.17161421958964,14.0,19.0,29.0,20.666666666666668,21,DEBIL
137,SF,102,476,4.666666666666667,SFG,108.38507386233141,105.87235043009763,19.0,23.0,21.0,21.0,22,DEBIL
108,LAA,103,500,4.854368932038835,LAA,110.14545928961073,104.13449477499763,24.0,24.0,20.0,22.666666666666668,23,DEBIL
113,CIN,101,486,4.811881188118812,CIN,107.62089336955808,111.57163874196421,23.0,22.0,26.0,23.666666666666668,24,DEBIL
142,MIN,103,527,5.116504854368932,MIN,114.79475424832152,107.7308803320717,26.0,27.0,22.0,25.0,25,DEBIL
120,WSH,103,541,5.252427184466019,WSN,113.33797387821907,110.45043274128045,28.0,25.0,24.0,25.666666666666668,26,DEBIL
117,HOU,104,518,4.980769230769231,HOU,114.50876830554223,116.56375550906502,25.0,26.0,30.0,27.0,27,DEBIL
118,KC,103,534,5.184466019417476,KCR,115.88336914445688,114.5488379825493,27.0,28.0,27.0,27.333333333333332,28,DEBIL
115,COL,104,596,5.730769230769231,COL,117.20676150197609,110.5796695157062,30.0,29.0,25.0,28.0,29,DEBIL
133,ATH,102,580,5.686274509803922,ATH,120.95914581931616,114.66120692785586,29.0,30.0,28.0,29.0,30,DEBIL
